Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,TS%,Wins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,66,15965,2595,5658,0.459,791,2157,0.367,1804,3501,0.515,1097,1476,0.743,644,2109,2753,1589,490,299,1008,1299,7078,2019,0.561,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,65,15725,2510,5730,0.438,678,2032,0.334,1832,3698,0.495,1214,1511,0.803,647,2138,2785,1663,534,299,969,1304,6912,2019,0.54,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Rockets*,72,17380,2936,6512,0.451,1126,3261,0.345,1810,3251,0.557,1484,1876,0.791,704,2484,3188,1557,627,371,1057,1566,8482,2019,0.578,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers*,73,17620,3075,6457,0.476,743,2046,0.363,2332,4411,0.529,1096,1393,0.787,636,2489,3125,1888,543,376,967,1445,7989,2019,0.565,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers*,72,17380,2992,6425,0.466,895,2410,0.371,2097,4015,0.522,1498,1894,0.791,767,2664,3431,1708,511,338,1051,1594,8377,2019,0.577,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers*,71,17090,3006,6269,0.48,782,2242,0.349,2224,4027,0.552,1260,1728,0.729,757,2490,3247,1803,612,468,1077,1471,8054,2019,0.573,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,73,17570,3106,6634,0.468,798,2297,0.347,2308,4337,0.532,1212,1589,0.763,754,2643,3397,1965,576,398,1113,1546,8222,2019,0.561,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami Heat*,73,17745,2880,6160,0.468,979,2584,0.379,1901,3576,0.532,1440,1840,0.783,620,2619,3239,1892,547,332,1088,1501,8179,2019,0.587,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks*,73,17595,3160,6638,0.476,1007,2840,0.355,2153,3798,0.567,1336,1800,0.742,691,3083,3774,1889,526,429,1102,1431,8663,2019,0.583,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,64,15560,2586,5865,0.441,853,2540,0.336,1733,3325,0.521,1223,1624,0.753,675,2193,2868,1525,555,362,981,1370,7248,2019,0.551,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,72,17430,3065,6598,0.465,982,2656,0.37,2083,3942,0.528,1229,1687,0.729,797,2551,3348,1932,539,358,1181,1524,8341,2019,0.568,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
